"","Onderwerpen:Wijken en buurten","Meest voorkomende postcode:code","Gemeentenaam:naam","Codering:code","Mate van stedelijkheid:code","Gemeentenaam:naam","Soort regio:omschrijving","Afstand tot huisartsenpraktijk:km","Afstand tot grote supermarkt:km","Afstand tot kinderdagverblijf:km","Afstand tot school:km","Scholen binnen 3 km:aantal","Personen per soort uitkering; Bijstand:aantal","Personen per soort uitkering; AO:aantal","Personen per soort uitkering; WW:aantal","Personen per soort uitkering; AOW:aantal","Aantal inkomensontvangers  :aantal","Gemiddeld inkomen per inkomensontvanger :x 1 000 euro","Gemiddeld inkomen per inwoner :x 1 000 euro","40% personen met laagste inkomen:%","20% personen met hoogste inkomen:%","Actieven 15-75 jaar:%","40% huishoudens met laagste inkomen:%","20% huishoudens met hoogste inkomen:%","Huishoudens met een laag inkomen:%","Huish. onder of rond sociaal minimum:%","Woningvoorraad:aantal","Gemiddelde woningwaarde:x 1 000 euro","Percentage eengezinswoning:%","Percentage bewoond:%","Koopwoningen:%","In bezit woningcorporatie:%","In bezit overige verhuurders:%","Bouwjaar vanaf 2000:%","Westers totaal:aantal","Niet-westers totaal:aantal","Geboorte totaal:aantal","Sterfte totaal:aantal","Eenpersoonshuishoudens:aantal","Huishoudens zonder kinderen:aantal","Huishoudens met kinderen:aantal","Gemiddelde huishoudensgrootte:aantal","Bevolkingsdichtheid:aantal inwoners per km²","Aantal inwoners:aantal","Mannen:aantal","0 tot 15 jaar:aantal","15 tot 25 jaar:aantal","25 tot 45 jaar:aantal","45 tot 65 jaar:aantal","65 jaar of ouder:aantal","Ongehuwd:aantal","Gehuwd:aantal","Gescheiden:aantal","Verweduwd:aantal","Indelingswijziging wijken en buurten:code","Bedrijfsvestigingen totaal:aantal","A Landbouw, bosbouw en visserij:aantal","B-F Nijverheid en energie:aantal","G+I Handel en horeca:aantal","H+J Vervoer, informatie en communicatie:aantal","K-L Financiële diensten, onroerend goed:aantal","M-N Zakelijke dienstverlening:aantal","R-U Cultuur, recreatie, overige diensten:aantal","Oppervlakte totaal:ha","Oppervlakte land:ha","Oppervlakte water:ha","Afstand tot oprit hoofdverkeersweg:km","Afstand tot treinstations totaal:km","Afstand tot belangrijk overstapstation:km"
"1","Appingedam",NA,"Appingedam","GM0003","3","Appingedam","Gemeente",1.3,0.9,1.4,0.9,6.3,470,770,380,2710,9200,26.1,20.6,44.9,14.1,53.3,46.2,12.3,11.3,9.6,5850,134,72,95,48,44,8,14,885,674,94,164,1975,1836,1739,2.1,505,12011,5807,1857,1241,2576,3579,2758,4991,5105,1016,899,NA,555,35,75,175,40,50,90,85,2458,2377,81,1,1.5,25.3
"2","Bedum",NA,"Bedum","GM0005","4","Bedum","Gemeente",1.1,1.1,1,0.7,4,150,590,250,2020,7800,27.7,21.4,39.5,17.8,58,34.2,18.6,6.9,5.7,4529,171,85,96,68,24,8,12,443,270,96,81,1205,1523,1581,2.4,234,10441,5223,1771,1232,2182,3213,2043,4565,4797,578,501,NA,650,80,110,140,55,60,125,80,4496,4454,41,0.9,2.2,11.4
"3","Bellingwedde",NA,"Bellingwedde","GM0007","5","Bellingwedde","Gemeente",1.8,2.6,3.4,1.1,2.1,260,590,220,2260,7000,25.8,20.6,43.8,14.2,50.4,42.1,15.1,9.9,8.1,4128,156,93,94,72,20,8,6,725,363,60,118,1305,1597,1252,2.2,84,9154,4615,1251,921,1687,3007,2288,3444,4344,703,663,NA,680,145,125,135,35,35,115,85,11008,10836,172,1.5,8.9,42.4
"4","Ten Boer",NA,"Ten Boer","GM0009","5","Ten Boer","Gemeente",1.5,1.8,1.7,0.6,2.6,110,210,160,1340,5400,28.6,21.4,37.6,18.7,61.6,30.6,20.6,6.8,6,3033,166,91,97,77,19,4,14,314,201,68,108,777,1001,1180,2.5,164,7452,3699,1431,826,1609,2226,1360,3306,3272,427,447,NA,545,95,90,95,35,40,115,70,4573,4531,42,0.7,8,12.7
"5","Delfzijl",NA,"Delfzijl","GM0010","4","Delfzijl","Gemeente",1.4,1.3,2,0.7,6.8,1050,1250,790,5870,19500,26.1,20.7,44.1,14.9,50.7,43.7,13.2,11.8,9.7,12232,124,78,93,61,29,9,8,2003,2383,191,335,3994,3894,3664,2.1,191,25409,12771,3685,2713,5259,7777,5975,10264,11375,1954,1816,NA,1510,165,230,355,265,105,215,175,22750,13313,9437,1.3,3.9,30.2
"6","Groningen",NA,"Groningen","GM0014","1","Groningen","Gemeente",0.7,0.6,0.4,0.7,10.8,11030,8720,4870,23380,159200,24.5,20.5,50.9,14.9,48.2,63.5,10.2,17.5,14.3,97905,152,36,96,38,37,23,11,23143,22074,2051,1336,74556,24757,21451,1.6,2559,200336,99657,24665,48758,60584,42549,23780,134654,44909,13881,6892,NA,14720,60,1395,3170,1875,1195,4430,2595,8375,7827,548,1.1,2.4,3.1
"7","Grootegast",NA,"Grootegast","GM0015","5","Grootegast","Gemeente",2.1,1.6,1.9,0.8,3.1,180,520,340,2000,8900,25.9,19.2,43,13.9,60.5,34.9,17.9,7.7,6.2,4938,187,92,96,72,20,6,14,315,119,127,93,1201,1516,2026,2.5,140,12123,6169,2326,1489,2766,3516,2026,5615,5337,586,585,NA,980,170,250,230,50,60,135,90,8774,8670,104,0.7,8,22.7
"8","Haren",NA,"Haren","GM0017","4","Haren","Gemeente",0.8,1.2,0.8,0.8,6.3,260,590,370,5010,14300,38,29.6,33.9,29.6,56.6,31.5,30.1,7,5.5,8615,254,77,95,69,15,16,8,1469,726,168,264,3063,2815,2675,2.2,416,18924,9006,3111,1773,3387,5579,5074,7952,8228,1381,1363,NA,1540,35,125,255,100,235,565,225,5073,4551,522,1.3,2,7
"9","Hoogezand-Sappemeer",NA,"Hoogezand-Sappemeer","GM0018","3","Hoogezand-Sappemeer","Gemeente",1.2,1.1,0.8,0.7,9.4,1340,2460,1090,7060,26000,25.6,19.9,45,13.5,51.8,47.4,12,13,10.8,15908,145,70,97,56,32,11,14,2500,3960,293,370,5542,4894,5163,2.2,515,34334,16955,5492,3675,8002,9998,7167,15124,14017,2963,2230,NA,1815,70,315,535,140,170,335,250,7299,6662,637,1.4,1.5,16.5
"10","Leek",NA,"Leek","GM0022","4","Leek","Gemeente",1.4,1.2,1,1,6.2,390,990,550,3890,14500,27.9,21.4,41.9,17.4,57.6,37,18.4,8.2,6.9,8412,180,86,98,64,25,10,15,1051,627,174,192,2409,2710,3049,2.3,308,19478,9600,3392,2088,4177,5886,3935,8391,8687,1298,1102,NA,1580,115,305,395,115,155,330,165,6428,6322,106,1.1,13.2,17.3
