realtor,Ons actuele woningaanbod.huurwoningen aangeboden,Ons actuele woningaanbod.koopwoningen aangeboden,Transacties van de laatste 12 maanden.woningen aangehuurd,Transacties van de laatste 12 maanden.woningen aangekocht,Transacties van de laatste 12 maanden.woningen aangekocht of aangehuurd,Transacties van de laatste 12 maanden.woningen verkocht,Transacties van de laatste 12 maanden.woningen verkocht of verhuurd,house
/makelaars/leiden/62473-de-wekker-makelaardij/,,,,,,,,/koop/verkocht/leiden/appartement-85411638-ank-van-der-moerstraat-14/
/makelaars/goes/62744-anthonise-makelaars/,,,,,,,,/koop/verkocht/yerseke/huis-85496733-margrietstraat-24/
/makelaars/veenendaal/62633-zonnenberg-makelaardij/,,,,,,,,/koop/verkocht/veenendaal/appartement-85444174-dr-slotemaker-de-bruinestraat-12-c/
/makelaars/veenendaal/18059-van-ginkel-en-van-bemmelen/,3.0,153.0,,23.0,,,269.0,/koop/verkocht/veenendaal/huis-49018211-bouwnummer-bouwnr-12/
/makelaars/amsterdam/24715-k2-makelaars/,0.0,4.0,,6.0,,,13.0,/koop/verkocht/amsterdam/appartement-49019366-veembroederhof-121/
/makelaars/arnhem/2275-van-sonsbeeck-makelaars/,2.0,36.0,,24.0,,109.0,,/koop/verkocht/arnhem/huis-49160337-wielewaalstraat-54/
/makelaars/rotterdam/15430-vogelenzang-de-jong-makelaars-bv/,0.0,16.0,,25.0,,70.0,,/koop/verkocht/rotterdam/appartement-49159441-groenendaal-285/
/makelaars/meerssen/21147-tijs-hillen-makelaardij/,0.0,86.0,,3.0,,,198.0,/koop/verkocht/eijsden/huis-49109350-bouwnummer-nk19-bouwnr-6/
/makelaars/den-haag/8235-nelisse-makelaarsgroep/,8.0,202.0,,,32.0,,429.0,/koop/verkocht/den-haag/appartement-49082322-cornelis-de-wittlaan-512/
/makelaars/alkmaar/12285-makelaarsland/,0.0,2878.0,,,0.0,5529.0,,/koop/verkocht/leeuwarden/appartement-49152720-sacramentsstraat-9-b/
/makelaars/den-haag/8220-belderbos-nvm-makelaars/,4.0,31.0,,15.0,,,129.0,/koop/verkocht/den-haag/appartement-49153597-goudreinetstraat-159/
/makelaars/waddinxveen/7021-de-pater-makelaardij/,0.0,239.0,,2.0,,,360.0,/koop/verkocht/waddinxveen/huis-49075833-jan-dorrekenskade-oost-37/
/makelaars/woerden/7008-de-koning-makelaars-era/,2.0,54.0,,36.0,,,230.0,/koop/verkocht/nieuwkoop/huis-49782092-meije-340/
/makelaars/rotterdam/15036-ooms-makelaars-rotterdam/,80.0,320.0,,20.0,,,648.0,/koop/verkocht/rotterdam/huis-49917765-het-paradijshof-bouwnr-37/
/makelaars/arnhem/2232-strijbosch-thunnissen-woningmakelaars/,12.0,127.0,,,45.0,,467.0,/koop/verkocht/arnhem/appartement-49170461-sleutelbloemstraat-69/
/makelaars/hoogeveen/4078-schelhaas-makelaardij-bv/,0.0,64.0,,5.0,,,35.0,/koop/verkocht/uffelte/huis-49578470-egginkstraat-4/
/makelaars/amsterdam/24461-era-van-de-steege/,0.0,56.0,,16.0,,190.0,,/koop/verkocht/oostzaan/huis-49046966-rietschoot-186/
/makelaars/deventer/3146-thoma-post-makelaars-deventer/,1.0,98.0,,13.0,,113.0,,/koop/verkocht/voorst-gem-voorst/huis-49464703-deventerweg-12/
/makelaars/groningen/9250-wichers-van-der-schaaf/,1.0,49.0,,29.0,,,108.0,/koop/verkocht/groningen/huis-49163585-de-klerkstraat-10/
/makelaars/maastricht/21124-boek-en-offermans-makelaars/,1.0,27.0,,,0.0,79.0,,/koop/verkocht/maastricht/huis-49923766-dorpstraat-64/
/makelaars/den-haag/8035-makelaars-associatie/,6.0,14.0,,,23.0,,107.0,/koop/verkocht/den-haag/appartement-49189775-kranenburgweg-103/
/makelaars/uithoorn/24383-ekz-makelaars-uithoorn/,3.0,46.0,,7.0,,,145.0,/koop/verkocht/uithoorn/huis-49159120-herman-gorterhof-114/
